# r(A) g(r)_avg coord_avg
0.03000000 0.00000000 0.00000000
0.09000000 0.00000000 0.00000000
0.15000000 0.00000000 0.00000000
0.21000000 0.00000000 0.00000000
0.27000000 0.00000000 0.00000000
0.33000000 0.00000000 0.00000000
0.39000000 0.00000000 0.00000000
0.45000000 0.00000000 0.00000000
0.51000000 0.00000000 0.00000000
0.57000000 0.00000000 0.00000000
0.63000000 0.00000000 0.00000000
0.69000000 0.00000000 0.00000000
0.75000000 0.00000000 0.00000000
0.81000000 0.00000000 0.00000000
0.87000000 0.00000000 0.00000000
0.93000000 0.00000000 0.00000000
0.99000000 0.00000000 0.00000000
1.05000000 0.00000000 0.00000000
1.11000000 0.00000000 0.00000000
1.17000000 0.00000000 0.00000000
1.23000000 0.00000000 0.00000000
1.29000000 0.00000000 0.00000000
1.35000000 0.00000000 0.00000000
1.41000000 0.00000000 0.00000000
1.47000000 0.00000000 0.00000000
1.53000000 0.00000000 0.00000000
1.59000000 0.00000000 0.00000000
1.65000000 0.00000000 0.00000000
1.71000000 0.00000000 0.00000000
1.77000000 0.00000000 0.00000000
1.83000000 0.00000000 0.00000000
1.89000000 0.00000000 0.00000000
1.95000000 0.00000000 0.00000000
2.01000000 0.00000000 0.00000000
2.07000000 0.00000000 0.00000000
2.13000000 0.00000000 0.00000000
2.19000000 0.00000000 0.00000000
2.25000000 0.00000000 0.00000000
2.31000000 0.00000000 0.00000000
2.37000000 0.00000000 0.00000000
2.43000000 0.00000000 0.00000000
2.49000000 0.00000000 0.00000000
2.55000000 1.69235222 0.50000000
2.61000000 0.00000000 0.50000000
2.67000000 7.71827695 3.00000000
2.73000000 10.33585521 6.50000000
2.79000000 0.00000000 6.50000000
2.85000000 0.00000000 6.50000000
2.91000000 1.29954041 7.00000000
2.97000000 0.00000000 7.00000000
3.03000000 0.00000000 7.00000000
3.09000000 5.76276026 9.50000000
3.15000000 0.00000000 9.50000000
3.21000000 1.06799309 10.00000000
3.27000000 4.11664535 12.00000000
3.33000000 0.00000000 12.00000000
3.39000000 0.00000000 12.00000000
3.45000000 0.00000000 12.00000000
3.51000000 0.00000000 12.00000000
3.57000000 0.00000000 12.00000000
3.63000000 0.00000000 12.00000000
3.69000000 0.00000000 12.00000000
3.75000000 0.00000000 12.00000000
3.81000000 0.00000000 12.00000000
3.87000000 0.00000000 12.00000000
3.93000000 0.00000000 12.00000000
3.99000000 0.00000000 12.00000000
4.05000000 0.00000000 12.00000000
4.11000000 0.32573903 12.25000000
4.17000000 0.31643284 12.50000000
4.23000000 1.53759920 13.75000000
4.29000000 1.19591272 14.75000000
4.35000000 0.29078752 15.00000000
4.41000000 0.00000000 15.00000000
4.47000000 1.10153825 16.00000000
4.53000000 0.00000000 16.00000000
4.59000000 1.04469518 17.00000000
4.65000000 0.00000000 17.00000000
4.71000000 0.00000000 17.00000000
4.77000000 0.00000000 17.00000000
4.83000000 0.00000000 17.00000000
4.89000000 0.00000000 17.00000000
4.95000000 0.00000000 17.00000000
5.01000000 0.00000000 17.00000000
5.07000000 0.00000000 17.00000000
5.13000000 0.00000000 17.00000000
5.19000000 0.00000000 17.00000000
5.25000000 0.39927105 17.50000000
5.31000000 0.58544857 18.25000000
5.37000000 2.28975657 21.25000000
5.43000000 0.37323905 21.75000000
5.49000000 0.18256274 22.00000000
5.55000000 0.71454725 23.00000000
5.61000000 0.00000000 23.00000000
5.67000000 0.00000000 23.00000000
5.73000000 0.00000000 23.00000000
5.79000000 0.00000000 23.00000000
5.85000000 0.00000000 23.00000000
5.91000000 0.00000000 23.00000000
5.97000000 0.00000000 23.00000000
